src_ip,dst_ip,function_code,function_name,table_type,start_address,end_address,quantity,count
192.168.5.102,192.168.12.132,3,Read Holding Registers,holding_registers,100,102,3,1364
192.168.5.102,192.168.12.35,3,Read Holding Registers,holding_registers,100,101,2,75627
192.168.5.102,192.168.12.41,3,Read Holding Registers,holding_registers,324,326,3,39652
192.168.5.102,192.168.12.41,3,Read Holding Registers,holding_registers,100,121,22,39652
192.168.5.102,192.168.12.20,3,Read Holding Registers,holding_registers,100,120,21,1365
192.168.5.102,192.168.12.73,2,Read Discrete Inputs,discrete_inputs,10215,10216,2,37853
192.168.5.102,192.168.12.49,3,Read Holding Registers,holding_registers,60,106,47,17938
192.168.5.102,192.168.12.40,3,Read Holding Registers,holding_registers,99,200,102,2
192.168.5.102,192.168.12.73,2,Read Discrete Inputs,discrete_inputs,11040,11041,2,37852
192.168.5.102,192.168.12.73,2,Read Discrete Inputs,discrete_inputs,10200,10207,8,37853
192.168.5.102,192.168.12.71,2,Read Discrete Inputs,discrete_inputs,10200,10207,8,82802
192.168.5.102,192.168.12.148,3,Read Holding Registers,holding_registers,100,113,14,2
192.168.5.102,192.168.12.43,3,Read Holding Registers,holding_registers,102,116,15,82807
192.168.5.102,192.168.12.72,1,Read Coils,coils,30,31,2,82787
192.168.5.102,192.168.12.72,2,Read Discrete Inputs,discrete_inputs,12005,12007,3,82801
192.168.5.102,192.168.12.43,3,Read Holding Registers,holding_registers,324,324,1,82805
192.168.5.102,192.168.5.1,1,Read Coils,coils,0,100,101,2
192.168.5.102,192.168.12.71,2,Read Discrete Inputs,discrete_inputs,11040,11041,2,82800
192.168.5.102,192.168.12.29,3,Read Holding Registers,holding_registers,61,165,105,81386
192.168.5.102,192.168.12.46,3,Read Holding Registers,holding_registers,324,400,77,82807
192.168.5.102,192.168.12.60,3,Read Holding Registers,holding_registers,8016,8016,1,82806
192.168.5.102,192.168.12.73,2,Read Discrete Inputs,discrete_inputs,10000,10001,2,37853
